Data,Unidade,ETE,Tipo,pH,DQO,DQOFiltrada,SST,CT,EColi,Meta,year,month,month_and_year,timestamp,ecoli_proportion,satisfy_ph,satisfy_ecoli,satisfy_dqo,satisfy_filtered_dqo,satisfy_le,satisfy_general,level,DQOf,geral_pc1,geral_pc2,geral_pc3,principal component 1,principal component 2,principal component 3
2021-02-01 00:00:00+00:00,MTE,rosa de luxemburgo,UASB,6.6,127.34,,32.5,10.0,10.0,S,2021,2,202102,1612137600000000000,1.0,1,1,1,0,1,1,4,,-0.6109688679378976,0.0014643437908110231,-1.6539686117437788,-0.6109688679378976,0.0014643437908110231,-1.6539686117437788
2021-02-01 00:00:00+00:00,MTE,aracape iii,UASB,7.3,177.67,,30.0,16.0,1.0,S,2021,2,202102,1612137600000000000,0.0625,1,1,1,0,1,1,4,,-0.620558921627921,-0.00454774545321923,-0.6230441177101002,-0.620558921627921,-0.00454774545321923,-0.6230441177101002
2021-02-01 00:00:00+00:00,MTE,curio i e ii,UASB,7.2,422.12,,97.5,10.0,10.0,N,2021,2,202102,1612137600000000000,1.0,1,1,0,0,1,0,3,,-0.06859449492304318,0.4745713903847347,-0.5976426818171157,-0.06859449492304318,0.4745713903847347,-0.5976426818171157
2021-02-01 00:00:00+00:00,MTE,lago azul,UASB,6.8,367.89,,75.0,2200.0,86.0,N,2021,2,202102,1612137600000000000,0.03909090909090909,1,1,0,0,1,0,3,,-0.1726422326698247,0.3963270063832607,-1.2094010477259525,-0.1726422326698247,0.3963270063832607,-1.2094010477259525
2021-02-01 00:00:00+00:00,MTE,tcm,UASB,6.8,91.39,,32.5,10.0,10.0,S,2021,2,202102,1612137600000000000,1.0,1,1,1,0,1,1,4,,-0.6792834288264463,-0.06867814286936565,-1.3896599226536563,-0.6792834288264463,-0.06867814286936565,-1.3896599226536563
2021-02-01 00:00:00+00:00,MTE,zeza tijolo,UASB,6.8,389.56,,210.0,24000.0,3300.0,N,2021,2,202102,1612137600000000000,0.1375,1,1,0,0,0,0,2,,0.28387139973809966,0.6829390200167004,-1.1550859800056181,0.28387139973809966,0.6829390200167004,-1.1550859800056181
2021-02-01 00:00:00+00:00,MTE,jose euclides ferreira,UASB,7.1,302.89,,177.5,10.0,10.0,N,2021,2,202102,1612137600000000000,1.0,1,1,0,0,0,0,2,,0.03264533964676796,0.4733929608875778,-0.7885318715143143,0.03264533964676796,0.4733929608875778,-0.7885318715143143
2021-02-01 00:00:00+00:00,MTE,sitio santana,UASB,7.2,172.89,,181.7,24000.0,1500.0,N,2021,2,202102,1612137600000000000,0.0625,1,1,1,0,0,0,3,,-0.137316583733896,0.28777733079996104,-0.7226573672905768,-0.137316583733896,0.28777733079996104,-0.7226573672905768
2021-02-01 00:00:00+00:00,MTE,orgulho do ceara,UASB/POS,7.1,165.67,,66.0,240000.0,240000.0,N,2021,2,202102,1612137600000000000,1.0,1,0,1,0,1,0,3,,-0.4430287100495207,-0.01244387677528471,-0.9051014960572389,-0.4430287100495207,-0.01244387677528471,-0.9051014960572389
2021-02-01 00:00:00+00:00,MTE,conj. jereissati iii,LE,7.7,526.78,151.23,226.0,4600000.0,930000.0,N,2021,2,202102,1612137600000000000,0.20217391304347826,1,0,0,1,0,0,2,151.23,2.531051705404355,0.5759663771874266,-0.22727147334293205,2.531051705404355,0.5759663771874266,-0.22727147334293205
2021-02-01 00:00:00+00:00,MTE,sidi,LE,8.38,199.38,71.78,101.7,240000.0,310.0,S,2021,2,202102,1612137600000000000,0.0012916666666666667,1,1,1,1,1,1,5,71.78,-0.325079750652211,0.0670070125166082,0.9196392703850927,-0.325079750652211,0.0670070125166082,0.9196392703850927
2021-02-01 00:00:00+00:00,MTE,conj. esperanca,LE,7.8,351.04,76.6,100.0,4600000.0,930000.0,N,2021,2,202102,1612137600000000000,0.20217391304347826,1,0,0,1,1,0,3,76.6,0.4929952811159782,-0.37313137169962357,0.1914970461369076,0.4929952811159782,-0.37313137169962357,0.1914970461369076
2021-02-01 00:00:00+00:00,MTE,conj. araturi,LE,7.5,476.23,105.49,146.0,2600000.0,720000.0,N,2021,2,202102,1612137600000000000,0.27692307692307694,1,0,0,1,1,0,3,105.49,1.1995068077351216,0.385680407613743,-0.3296868750244647,1.1995068077351216,0.385680407613743,-0.3296868750244647
2021-02-01 00:00:00+00:00,MTE,pq. fluminense,LE,7.5,290.86,69.38,88.0,780000.0,77000.0,N,2021,2,202102,1612137600000000000,0.09871794871794871,1,0,0,1,1,0,3,69.38,-0.15101908189396612,0.15935831511711943,-0.26935278663070816,-0.15101908189396612,0.15935831511711943,-0.26935278663070816
